Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,V,VZ,WBA,WMT,XOM,
2020/8/3,108.94,93.54,162.27,131.78,47.16,84.81,116.35,52.46,199.39,266.18,124.31,48.3,147.35,96.1,46.3,194.4,150.41,82.54,216.54,98.33,38.35,131.29,114.4,303.61,190.69,57.24,41.08,129.3,42.25,
2020/8/4,109.67,93.19,165.07,131.52,47.67,86.49,117.29,53.16,201.64,267.87,125.84,49.13,147.22,95.55,46.69,199.36,151.21,81.67,213.29,97.33,38.39,133.79,113.1,304.5,192.29,57.91,40.93,131.64,43.47,
2020/8/5,110.06,95.39,174.28,134.97,47.33,87.2,127.61,54.73,204.52,267.48,125.45,48.92,148.4,97.21,47.22,199.26,155.35,81.64,212.94,100.94,38.45,133.44,115.08,312.47,196.1,57.54,40.81,129.81,43.85,
2020/8/6,113.9,95.92,172.2,134.39,47.77,87.47,130.82,54.71,204.25,269.37,126.12,48.57,147.55,97.24,47.48,203.18,156,81.05,216.35,100.45,38.27,132.71,113.74,314.06,198.77,57.83,40.89,129.35,43.64,
2020/8/7,111.11,99.16,170.02,134.92,47.43,86.8,129.93,55.87,208.27,271.64,124.96,48.03,148.6,99.38,47.8,204.6,158.33,81.02,212.48,101.86,38.45,133.55,117.36,317.03,196.36,58.53,41.52,129.97,43.44,
2020/8/10,112.73,101.62,179.41,142.02,47.73,89.73,128.79,57.67,209.38,274.73,127.11,49.22,148.03,100.64,47.72,204.12,161.44,80.91,208.25,105.41,38.39,134.1,119.12,319.1,196.79,58.99,42.86,131.88,44.51,
2020/8/11,109.38,103.26,180.13,142.53,47.19,89.62,130.49,57.3,211.06,274.92,126.75,48.19,146.97,103.82,47.93,205,163.38,80.91,203.38,105.12,37.79,133.23,119.92,315.55,197.77,58.51,41.85,130.2,44.97,
2020/8/12,113.01,101.68,175.44,142.57,48.1,90.72,131.79,58.35,212.13,281.58,126.7,49.19,149.66,102.94,48.43,206.02,164.26,82.68,209.19,105.22,38.33,135.46,118.86,322.27,198.74,58.6,41.82,131.89,44.09,
2020/8/13,115.01,100.42,174.73,140.67,42.72,89.82,130.96,58.02,208.39,281.66,125.03,48.56,148,102.37,48.38,206.49,165.86,83.54,208.7,106.52,38.17,135.78,119.27,321.52,197.58,58.52,41,131.85,43.01,
2020/8/14,114.91,100.41,178.08,139.96,42.5,90.35,130.53,58.16,207.97,280.55,125.27,48.89,148.24,102.41,48.45,207.03,166.1,83.48,208.9,106.43,38.06,135.1,118.6,323.7,196.64,58.79,41.91,132.6,43.2,
2020/8/17,114.61,97.55,172.01,138.72,42.09,90.77,129.37,57.46,203.07,288.24,124.44,48.93,148.99,99.71,48.21,208.67,164.71,84.76,210.28,105.66,38.35,135.5,115.91,320.51,199.43,58.78,41.18,135.6,42.64,
2020/8/18,115.56,96.67,170.23,138.37,41.98,87.63,128.92,57,201.31,285,124.92,48.65,150.09,98.32,48.42,210.32,164.38,84.56,211.49,106.97,38.36,136.51,114.93,316.81,199.01,59.18,40.76,134.71,42.43,
2020/8/19,115.71,96.89,169.27,138.02,41.87,86.39,127.77,56.27,203.02,282.86,123.84,48.33,150.39,98.55,47.37,209.51,163.97,85.03,209.7,108.39,38.26,135.77,113.2,315.4,200.99,59.05,40.25,132.41,41.96,
2020/8/20,118.28,96.72,169.58,137.48,42.31,84.81,128.12,56.11,201.85,280.68,123.15,49.17,151.42,97.37,47.35,209.88,162.97,85.03,214.58,108.01,38.72,136.85,112.53,313.33,204.15,58.96,39.71,130.57,41.32,
2020/8/21,124.37,96.15,167.5,138.43,42.25,85.08,127.44,55.14,202.43,283.23,123.16,49.28,152.76,97.32,47.28,211.57,161.71,84.98,213.02,109.75,38.88,137.44,111.83,314.14,204.13,58.99,39.46,131.63,41.01,
2020/8/24,125.86,99.33,178.27,141.68,42.18,87.2,130.69,56.89,207.34,286.75,125.68,49.14,152.15,100.06,47.97,212.62,163.53,85.42,213.69,111.83,38.84,138.51,114.9,308.84,206.41,59.57,39.74,131.33,42.22,
2020/8/25,124.83,99.05,174.73,141.15,41.96,86.13,129.79,56.2,206,286.13,124.64,49.43,152.06,100.5,47.91,212.65,163.1,85.68,216.47,111.51,38.41,139.06,115.62,312.22,208.1,59.42,39.5,130.63,40.88,
2020/8/26,126.52,98.4,171.9,141.83,42.25,84.78,132.18,56.91,207.22,291.93,124.17,49.55,152.3,99.09,48.16,213.76,163.9,85.54,221.15,111.53,38.05,138.39,113.54,308.82,210.26,59.46,38.67,130.7,40.01,
2020/8/27,125.01,101.53,174.2,143.37,42.29,84.91,133.73,56.58,210.15,288.63,124.65,49.4,152.98,102.35,48.23,212.19,164.08,85.82,226.58,110.84,37.86,138.21,117.18,311.67,211.03,59.43,39.34,136.63,39.74,
2020/8/28,124.81,102.54,175.8,143.63,42.2,85.63,135.54,57.18,207.71,286.29,125.07,50.43,153.64,102.77,49.83,214.91,165.66,85.65,228.91,112.29,37.91,138.77,115.89,314.37,215.71,59.26,38.76,140.3,40.69,
2020/8/31,129.04,101.59,171.82,142.31,42.22,83.93,131.87,55.76,204.87,285.04,123.31,50.95,153.41,100.19,49.53,213.52,163.02,85.27,225.53,111.89,37.79,138.33,116.04,312.55,211.99,59.27,38.02,138.85,39.94,
