Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
2020/10/1,116.79,101.33,167.86,146.71,38.8,70.42,123.31,54.53,198.55,277.62,121.09,52.24,147.32,96.97,49.18,219.59,158.79,81.64,212.46,126.64,36.37,139.24,107.81,313.07,57.459999,203.35,59.45,35.87,143.08,33.13
2020/10/2,113.02,101.61,168.08,149.94,38.27,71.19,122.55,54.77,199.9,279.31,120.57,51.01,146.24,97.89,49.36,222.67,160.36,80.8,206.19,126.64,36.38,138.12,108.58,311.98,59.34,201.46,59.24,35.77,140.5,32.98
2020/10/5,116.5,103.89,171.2,153.49,38.57,72.7,123.37,56.08,201.8,282.1,122.01,51.69,148.23,99.04,49.38,226.07,162.75,81.24,210.38,127.91,36.75,139.39,111.91,318.15,59.509998,203.54,59.66,36.62,141.8,33.74
2020/10/6,113.16,101.76,159.54,151.53,38.57,72.3,120.93,56.14,201.09,276.47,121.97,51.37,146.26,98.02,48.94,224.09,162.23,79.63,205.91,127.65,36.17,139.61,111.53,314.45,58.450001,200.45,59.46,35.95,140.63,33.39
2020/10/7,115.08,103.38,164.61,154.77,39.4,73.78,122.91,57.66,203.6,282.79,124.07,52.67,147.88,99.73,49.56,226.48,166.49,80.04,209.83,130.06,36.47,140.7,113.8,323.17,59.689999,202.47,59.61,36.49,140.89,33.5
2020/10/8,114.97,106.06,168,156.66,39.79,75.22,123.09,59.27,207.98,284.52,131.49,53.37,148.89,101.78,50.46,225.8,167.71,80.48,210.58,129.71,36.89,141.65,115.62,322.41,60.799999,202.98,59.19,37.07,141.36,35.26
2020/10/9,116.97,106.34,167.33,158.94,39.85,74,124.98,59.31,207.54,285.92,127.79,52.82,150.97,101.2,50.81,224.83,169.3,80.36,215.81,130.98,36.79,142.92,115.83,327.84,59.91,206.64,59.33,36.34,142.78,34.74
2020/10/12,124.4,106.61,167.35,162.61,40.36,74.51,124.97,58.43,214.12,286.91,127.21,53.88,151.84,102.44,51.09,226.11,168.65,80.36,221.4,129.46,36.82,144.49,116.54,329.97,60.529999,206.4,59.55,36.93,144.25,34.63
2020/10/13,121.1,105.01,162.14,162.12,39.81,73.4,128.96,58.32,210.81,290.36,125.1,53.83,148.36,100.78,50.22,227.35,166.63,80.71,222.86,129.2,36.9,144.21,112.89,331.42,59.52,204.32,59.36,36.18,146.23,34.22
2020/10/14,121.19,104.81,163.24,163.61,39.89,72.95,126.59,58.77,211.23,287.09,125.94,53.55,148.1,100.22,50.12,227.62,168.4,80.51,220.86,127.66,36.86,144.04,112.03,321.85,59.939999,202.2,58.43,35.91,143.94,34.15
2020/10/15,120.71,104.43,164.24,165.04,39.97,73.51,127.36,59.28,208.6,287.54,124.89,53.85,147.19,101.72,49.99,229.64,169.08,79.06,219.66,129,36.55,143.83,112.64,324.57,60.490002,199.55,58.16,37.64,144.53,34.45
2020/10/16,119.02,104.91,167.35,168.75,40.16,72.89,126.81,59.17,206.21,287.66,125.93,54.16,148.1,101.51,50.03,229.37,170.97,79.83,219.66,128,37.95,144.39,113.32,329.9,61.75,200.26,58.05,37.41,144.71,34.1
2020/10/19,115.98,102.47,167.11,167.53,39.3,71.28,124.23,58.44,205.69,283.73,125.52,54.58,144.32,99.8,49.62,226,169.55,78.67,214.22,127.43,37.8,141.91,111.84,324.22,61.459999,196.97,57.3,36.97,142.95,33.42
2020/10/20,117.51,103.14,167.24,168.99,39.2,71.68,124.95,59.48,208.03,286.04,117.37,53.43,144.55,100.37,50.25,227.45,170.95,78.27,214.65,128.49,37.49,142.48,118.11,323.41,61.240002,197.7,57.25,37.49,143.9,33.7
2020/10/21,116.87,101.43,163.86,167.4,39.06,70.87,126.63,58.66,202.91,284.51,115.06,53.5,143.93,99.37,49.99,228.19,169.17,78.07,214.8,129.43,37.08,143.25,125,322.79,60.349998,198.43,56.75,37.39,144.4,33.16
2020/10/22,115.75,104.79,169.07,169.66,38.82,73.4,127.56,59.48,205.4,281.16,115.76,53.9,145.08,102.88,50.68,229.15,170.71,79.21,214.89,130.02,37.43,141.45,126.14,325.73,62.799999,197.99,57.33,37.51,143.55,34.86
2020/10/23,115.04,100.98,167.36,168.59,38.82,72.57,128.35,59.82,205.04,283,116,48.2,145.24,103.81,50.52,228.71,169.8,79.83,216.23,129.99,38.18,142.38,125.97,330.6,62.57,198.01,57.96,38.04,143.85,34.16
