Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
2020/9/1,134.18,102.47,172.1,146.05,42.03,83.08,133.55,57.26,205.46,285.94,123.4,50.79,151.52,100.14,49.12,212.69,164.8,84.43,227.27,114.84,36.88,138.18,114.69,312.83,60.68,213.35,59.16,36.76,147.59,39.43
2020/9/2,131.4,104.4,174.78,149.27,42.42,83.19,135.39,60.16,210.04,287.2,128.18,52.25,153.83,101.65,51.19,216.23,169.51,86.93,231.65,116.8,37.2,140.51,117.48,320.24,62,216.48,60.53,37.17,147.68,39.19
2020/9/3,120.88,104.46,168.77,146.76,40.95,82.28,133.24,58.11,207.56,274.63,124.45,50.39,149.55,101.33,50.48,213.8,166.31,85.49,217.3,112.85,36.4,138.26,115.35,316.23,60.860001,208.96,60.61,37.09,144.54,39.11
2020/9/4,120.96,105.67,171.05,148.18,40.82,81.93,131.99,58.8,210.94,269.66,122.3,50.08,148.59,103.52,51.04,211.73,165.77,85.24,214.25,112.4,36.36,137.96,116.57,312,61.169998,204.66,60.48,36.89,142.83,39.08
2020/9/8,112.82,103.67,161.08,148.52,40,78.97,134.2,56.82,202.48,269.26,121.21,48.91,147.26,99.92,49.81,213.58,163.17,83.33,202.66,112.72,35.93,135.94,113.74,307.25,59.25,200.12,59.96,36.1,138.45,38.18
2020/9/9,117.32,103.78,160.78,152.69,40.13,80.03,133.36,57.93,202.22,277.04,122.26,49.62,149.7,100.87,50.19,215.71,165.7,84.88,211.29,114.9,36.18,138.15,113.63,312.02,59.580002,204.06,60.04,35.35,139.89,37.95
2020/9/10,113.49,102.77,157.69,149.86,39.57,78.15,133.22,57.73,200.01,272.7,120.56,48.96,146.91,99.83,50,217.24,163.15,83.57,205.37,114.79,35.65,136.7,111.8,304.6,59.52,201.54,59.53,34.67,136.81,37
2020/9/11,112,103.36,160.23,153.83,39.88,77.69,131.75,58.57,200.92,276.33,121.46,49.28,147.78,101.07,51.06,218,166.17,84.48,204.03,118,36.07,138.14,113.4,301.48,60.650002,200.68,59.79,34.7,136.7,36.9
2020/9/14,115.36,107.27,165.35,153.51,40.37,77.29,131.25,59.43,201.34,280.65,122.09,49.41,148.35,102.47,50.71,220.56,168.46,84.16,205.41,119.28,37.01,138.63,114.46,308.57,61.970001,204.98,60.32,35.11,137.32,36.66
2020/9/15,115.54,106.68,163.49,148.6,40.6,76.35,131.24,59.55,198,285.58,122.44,50,148.89,99.28,51.05,222.37,166.57,84.21,208.78,119.27,36.96,138.63,112.15,307.23,61.439999,205.39,60.6,35.27,137.36,36.27
2020/9/16,112.13,105.98,167.46,151.11,40.42,78.56,132.09,60.17,200.68,281.63,124.22,50.37,148.4,99.7,50.79,224.81,169.51,85.57,205.05,118.59,36.78,137.7,113.17,306.52,62.919998,205.13,60.37,36.28,136.26,37.81
2020/9/17,110.34,104.66,167.53,153.87,40.37,78.79,130.22,60.77,194.83,279.96,124.92,50.32,147.17,98.56,50.55,222.58,172.38,85.64,202.91,116.36,36.82,137.52,112.6,304.98,62.810001,205.27,60.59,37.21,136.69,37.8
2020/9/18,106.84,103.44,161.14,152.39,39.81,78.21,128.63,59.29,194.86,275.19,122.76,49.89,149.18,98.35,50.45,220.27,169.55,85.81,200.39,114.66,36.63,137.37,111.61,308.02,62.349998,202.61,60.35,36.93,135.29,37.19
2020/9/21,110.08,98.17,156.35,145.33,39.04,76.3,125.41,56.18,194,272.35,120.25,49.72,145.1,95.31,49.09,216.41,161.36,83.13,202.54,113.37,36.02,136.71,109.45,299.19,60.02,197.45,59.61,35.79,137.07,36.43
2020/9/22,111.81,98.48,156.8,147.15,39.32,75.53,127.21,55.76,191.62,273.31,120.51,49.95,144.21,94.27,49.66,216.41,162.34,82.94,207.42,116.87,36.25,137.96,109.25,294.26,59.790001,200.56,59.82,35.72,138.31,35.53
2020/9/23,107.12,95.56,151.18,144.38,38.28,71.95,123.28,54.37,186.12,266.55,118.83,48.82,144.44,92.74,48.21,214.97,159.51,82.63,200.59,127.11,36,136.31,107.49,292.14,58.330002,195.37,58.91,35.06,135.99,34.39
2020/9/24,108.22,95.45,146.05,145.14,37.85,71.8,122.49,54.3,195.11,265.7,118.09,49.16,144.67,92.66,48.7,216.12,160.42,83.15,203.19,124.75,35.76,136.92,107.82,292.66,57.380001,195.52,59.19,35.03,136.7,34.32
2020/9/25,112.28,96.26,156.03,145.91,38.45,71.83,124,55.04,194.95,268.55,118.95,49.94,145.66,93.47,48.72,218.18,160.27,82.93,207.82,124.23,36.05,137.62,108.11,302.5,57.490002,197.25,59.39,35.43,137.27,34.64
2020/9/28,114.96,98.82,166.08,147.68,39.13,73.93,125.99,56.55,199.07,272.33,121.73,51.43,147.11,96.16,49.28,220.26,161.66,82.76,209.44,124.32,36.39,138.01,110.22,303.23,58.889999,200.32,59.36,36.07,137.25,35.31
2020/9/29,114.09,97.75,163.6,147.41,39.06,71.9,125.4,55.19,196.79,272.11,120.94,51.19,147.06,95.35,48.92,218.68,159.81,81.9,207.26,126.35,36.17,137.26,107.44,304.15,57.599998,199.44,59.24,35.38,137.14,34.28
2020/9/30,115.81,100.25,165.26,149.15,39.39,72,124.08,55.48,200.97,277.71,121.67,51.78,148.88,96.27,49.37,219.49,160.18,82.95,210.33,125.54,36.7,138.99,108.19,311.77,58,199.97,59.49,35.92,139.91,34.33
