AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM,
77.38,91.17,128.21,99.81,23.1,119,81.57,70.79,165.92,79.38,194.5,25.99,97.94,60.67,38.41,97.9,136.53,56.37,41.42,37.2,31.95,80.34,84.39,81.84,117.92,53.68,47.75,65.83,76.77,97.73,
77.51,90.4,128.31,102.63,22.99,119.35,81.67,71.06,167.27,79.95,193.55,25.89,98.23,60.48,38.33,97.59,136,56.46,41.35,37.27,32.29,80.13,84.65,81.61,119.87,53.67,47.82,66.35,77.18,97.95,
76.97,90.98,128.78,102.55,23.09,119.04,81.69,70.58,166.09,79.4,192.69,26.41,98.26,60.66,38.07,97.66,136.14,56.21,41.01,36.99,32.4,80.1,84.98,82.25,119.77,53.75,48.12,67.09,77.46,97.93,
75.97,89.17,127.38,102.17,22.71,118.8,80.43,69.34,163.24,78.72,191.77,26.16,98.42,59.81,38.22,97.87,135.86,56.12,39.87,36.42,32.16,79.77,85.2,81.53,118.18,51.93,48.04,66.05,77.31,97.36,
74.78,86.6,125.59,101.11,22.85,117.34,79.13,68.26,158.56,77.13,194.52,26.49,97.89,59,38.62,97.01,134.4,55.19,39.8,35.42,31.2,80.49,85,81.08,116.18,50.85,48.12,65.1,77.31,96.78,
74.78,86.49,124.15,102.39,22.94,117.8,79.57,68.46,156.56,77.11,193.29,26.91,98.06,58.85,38.9,98.08,134.84,55.04,39.82,36.46,30.87,81.35,84.73,80.66,115.77,50.65,48.21,63.82,78.18,97.45,
75.76,88.72,126.88,102.99,23.12,119.1,80.47,69.74,158.16,77.76,196.64,26.98,98.95,59.27,38.99,98.35,135.84,57.1,40.47,36.78,31.23,81.49,85.82,81.39,117.04,51.89,47.98,65.52,77.97,97.33,
74.78,85.36,123.64,102.26,22.65,116.69,77.51,67.93,155.98,76.78,195.68,26.43,96.54,57.4,38.89,99.43,133.97,55.85,39.36,36.23,30.61,81.09,84.99,79.99,114.56,50.39,47.47,63.4,76.89,96.78,
74.23,84.54,122.07,101.45,22.46,117.03,77.01,66.86,152.72,75.7,195.19,26.18,96.87,55.3,38.63,99.29,132.39,55.92,39.21,35.63,29.86,80.76,85.3,78.95,113.93,49.16,47.07,64.26,76.5,96.72,
74.53,85.5,123.25,102.78,22.85,118.7,77.62,67.64,154.74,75.97,197.77,26.56,97.14,54.96,38.73,100.11,133.15,55.57,39.18,36.19,29.87,80.81,85.5,79.18,114.94,50.25,47.27,65.67,77.38,97.86,
73.99,86.04,124.27,102.5,22.89,120.3,77.66,67.74,154.92,75.89,197.02,26.77,99.2,54.8,40.18,100.83,134.09,56.05,39.75,36.14,29.89,80.84,85.89,79.51,115.84,51.01,46.92,66.01,76.88,98.68,
74.14,87.4,126.04,102.93,23.03,121.83,78.95,69.07,157.22,76.58,196.4,26.93,98.75,55.26,40.59,100.83,136.77,56.26,40.4,36.55,30.09,81.65,86.78,78.19,118.07,52.34,47.1,66.16,77.22,99.94,
74.99,86.22,127.92,102.83,23.21,123.68,79.99,69.38,157.44,77.09,190.01,27.04,98.96,55.22,40.72,100.25,137.73,56.47,40.01,37.02,30.25,81.76,86.68,75.78,118.57,51.99,47.6,66.75,77.66,100.42,
75.88,86.67,127.82,102.64,23.4,124.24,79.11,69.42,157.8,77.96,192.27,26.95,100,55.03,40.75,99.67,138.62,57.25,39.94,36.95,30.86,81.56,86.4,74.95,118.3,52.28,47.98,66.13,77.6,100.93,
75.96,87.07,127.55,103.69,23.52,124,79.45,69.7,160.46,79.67,192.15,26.84,100.18,55.81,40.71,99.32,138.89,57.77,39.99,37.17,31,81.25,86.89,75.76,119.19,52.49,47.92,67.38,77.56,100.37,
74.96,87.13,130.63,103.38,23.5,124.69,79.52,70.31,160.45,78.52,191.73,26.75,100.22,56.05,40.73,99.13,137.99,57.5,39.69,37.05,30.92,80.36,88.13,75.33,119.65,52.21,47.43,67.39,78.04,100.5,
81.11,87.41,129.86,105.28,23.33,124.3,79.59,70.12,160.85,79.77,190.22,26.75,99.96,56.19,40.7,99.84,136.65,57.53,39.86,36.7,30.71,81.15,88.59,76.59,118.98,52.35,46.28,67.42,78.31,100.01,
81.71,87.03,128.66,104.69,23,123.99,78.23,69.07,158.24,79.38,189.63,26.26,99.79,55.7,41.01,100.73,136.56,57.24,39.91,36.35,30.75,81.41,88.31,75.66,117.21,49.73,45.94,66.65,78.62,100.41,
84.87,87.06,127.04,104.26,23.02,125.73,77.78,67.35,156.54,80.17,193.14,26.33,101.34,55.49,41.03,100.31,137.23,56.68,40.87,35.84,32.04,82.94,89.64,75.74,117.7,50.36,46.6,67.45,79.76,101.17,
84.62,87.79,128.37,105.3,23.16,125.97,78.64,69.35,158.24,79.52,195.11,26.48,101.03,56.1,40.57,101.5,137.55,58.72,40.51,36.24,31.76,82.44,90.9,75.2,117.56,50.67,46.77,67.32,79.67,101.45,
84.3,87.43,129.02,105.4,23.11,125.52,79.34,71.06,159.82,79.51,196.47,26.69,101.29,55.98,40.79,101.38,139.09,58.56,40.4,36.48,31.28,82.55,90.58,75.04,118.33,50.65,46.73,67.9,79.71,102.41,
