AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
133.23,76.76,163.97,95.11,30.5,111,163.61,85.87,230.67,137.44,113.23,64.46,113.23,84.95,41.26,62.1,103.01,62.1,140.78,111,31.67,87.33,116.54,162.71,108.18,82.44,48.39,81.04,49.29,82.94
130.84,76.51,162.26,93.77,31.18,112.21,163,85.25,230.41,136.95,113.57,64.16,113.57,84.59,41.4,64.18,104.03,64.18,139.2,112.21,31.73,87.76,117.63,160.76,108.36,82.3,48.28,80.59,50.5,83.45
130.98,78.04,162.4,93.28,31.32,113.57,163.94,85.74,240.95,137.98,113.64,64.87,113.64,87.18,41.54,64.29,105.11,64.29,140.25,113.57,32.09,87.41,117.78,161.87,109.65,86.08,48.58,80.47,50.78,83.54
132.06,77.82,163.98,92.87,31.3,112.98,163.42,85.47,239.98,136.49,113.4,65.04,113.4,86.77,41.56,64.94,104.57,64.94,140.97,112.98,32.23,87.4,117.67,160.51,110.68,85.83,48.03,80.8,51.04,83.31
131.84,77.72,166.5,93.31,31.45,111.39,162.93,85.15,239.62,136.65,113.48,65.09,113.48,86.72,41.9,64.2,105.61,64.2,144,111.39,32.08,88.01,117.76,160.53,111.25,85.78,48.04,81.43,51.66,82.77
134.2,77.8,163.81,92.91,31.27,111.58,162.87,85.06,237.73,137.88,113.4,65.49,113.4,85.96,42.02,64.32,105.69,64.32,144.74,111.58,32.14,88.33,117.81,160.31,110.4,85.09,48.37,81.53,52,81.48
134.14,78.18,164.28,93.96,31.5,112.26,164.04,85.82,241.55,138.71,114.08,65.95,114.08,87.2,41.25,64.39,105.97,64.39,144.14,112.26,32.38,88.67,118.78,160.44,110.09,85.58,48.81,82.38,51.51,81.84
134.19,78.48,166.23,96.31,31.51,113.05,164.01,87.14,242.72,139.85,115.24,66.03,115.24,87,40.58,64.15,106.1,64.15,144.82,113.05,32.35,87.97,119.73,160.75,111.05,85.9,48.98,83.31,51.65,82.52
134.05,78.91,168.03,98.5,31.97,113.91,165.85,87.67,246.27,139.87,115.88,66.22,115.88,88.15,40.62,64.77,106.52,64.77,143.2,113.91,32.61,88.31,119.71,161.99,112.02,86.44,48.55,83.43,52.03,83
133.85,79.41,168.5,98.09,32.31,112.52,166.95,87.89,249.46,141.36,116.36,65.98,116.36,89.56,40.53,65.66,106.92,65.66,140.82,112.52,32.75,87.86,120.24,163.13,111.57,86.85,48.27,83.79,53.71,82.82
133.44,79.6,169.3,99.02,32.82,112.57,167.28,87.01,250.54,142.19,117.2,66.57,117.2,90.59,40.44,65.16,106.73,65.16,142.27,112.57,33.51,91.12,120.98,164.29,111.91,87.54,48.08,84.25,55.03,83.16
133.84,79.51,170.81,98.26,33.6,110.68,167.74,87.45,249.44,141.54,118.08,67.36,118.08,90.53,41.2,65.26,108.12,65.26,142.01,110.68,33.62,90.79,121.79,163.65,112.07,87.41,48.46,85.65,54.28,82.3
133.53,79.71,172.71,98.85,33.74,110.33,168.57,87.24,250.38,143,118.86,67.77,118.86,90.23,41.23,65.39,108.15,65.39,142.22,110.33,33.62,91.09,121.95,157.62,112.15,87.46,49.19,85.86,54.59,81.76
133.72,79.97,175.56,98.1,34.13,111.72,168.92,87.18,251.76,145.02,119.66,67.63,119.66,91.01,41.46,65.48,109.36,65.48,142.6,111.72,33.62,91.67,121.55,160.57,112.5,87.92,49.43,86.41,54.78,81.89
136.12,79.86,175.36,98.2,34.09,110.38,169.61,90.67,251.73,145.25,119.52,67.47,119.52,91.06,41.6,65.29,109.41,65.29,143.86,110.38,33.59,91.44,121.9,160.57,112.66,87.8,49.67,86.29,55.35,80.93
135.36,80.05,176.86,95.55,34.04,111.02,170.15,90.24,251.19,144.71,121.7,67.99,121.7,91.13,41.66,65.85,109.54,65.85,142.78,111.02,34.06,91.13,122.36,162.6,112.09,88.18,50.31,86.99,55.77,81.78
135.44,79.76,177.44,95.48,34.32,110.12,170.22,90.5,247.35,145.95,122.73,67.84,122.73,90.33,41.78,66.16,109.83,66.16,143.25,110.12,34.26,91.05,122.27,163.06,112.46,88.43,50.6,87.61,56.44,81.08
136.41,80.17,179.43,97.44,34.26,111.75,170.63,89.59,249.33,145.3,122.4,68.11,122.4,90.43,41.67,65.85,109.27,65.85,143.41,111.75,34.28,90.89,122.04,165.38,112.81,88,49.94,87.22,56.56,81.54
135.54,80.06,180.23,96.66,34.18,112.5,171.42,88.66,248.06,144.91,122.21,68.63,122.21,90.62,41.96,65.87,110.38,65.87,142.13,112.5,34.12,91.07,122.24,165.38,112.55,87.94,49.63,86.38,56.71,81.32
