AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM,
49.9,43.15,70.12,99.86,18.56,102.9,42.99,51.47,161.31,36.76,159.97,21.39,60.7,45.6,32.46,74.89,90.46,32.46,26.16,21.93,19.14,62.74,59.22,42.45,82.08,18.18,36.02,42.72,52.07,84.8,
50.3,43.02,69.57,100.97,18.5,103.47,43.29,52.15,161.69,36.66,160.16,21.49,60.81,45.21,32.22,74.69,91.32,32.58,26.08,22.08,19.19,62.41,58.81,43.56,82.05,18.49,36.34,41.84,51.97,85.08,
51.37,44.3,71.71,104.25,18.53,104.19,44.07,53.96,164.49,37.55,163.48,21.79,61.05,46.08,32.78,76.24,92.81,33.1,26.2,22.46,19.77,62.55,59.05,44.79,83.85,18.96,36.36,42.53,52.01,85.82,
51.43,43.72,71.8,103.04,18.4,103.75,43.55,53.43,161,37.22,161.83,21.56,61.06,45.52,32.6,76.03,92.19,33.06,25.95,22.47,19.66,62.03,59.18,44.45,82.86,18.67,36.08,42.23,52.07,85.08,
50.77,43.71,70.88,102.13,18.2,103.01,43.02,53.06,159.15,36.87,159.93,21.21,60.4,45.19,32.61,76.29,92.4,32.83,25.72,22.23,19.61,61.71,58.96,43.56,82.28,18.54,36.01,41.85,52.02,84.72,
50.82,45.24,72.04,104.13,18.22,103.77,43.2,54.54,161.3,37.04,162.28,21.13,60.71,46.4,32.82,75.54,93.75,32.98,25.91,22.3,19.68,62.05,59.06,43.83,83.26,18.54,36.48,42.39,52.44,84.6,
50.35,45.05,72.09,102.36,18.12,102.14,43.12,53.99,162.35,37.67,165.86,21.2,60.4,46.56,32.81,75.78,93.17,33.29,25.89,22.24,19.66,62,59.4,44.49,82.89,18.43,36.65,42.61,52.67,84.38,
49.52,44.02,71.29,98.39,17.92,99.08,42.47,52.44,160.27,37.07,162.02,20.79,59.61,45.53,32.65,76.68,90.01,32.9,25.41,22.05,19.36,61.49,58.52,43.79,80.92,17.85,36.4,41.96,52.65,81.38,
50.28,44.28,71.64,100.02,17.95,99.93,42.93,52.39,160.68,37.14,162.43,20.87,59.69,45.74,32.41,76.73,91.61,32.73,25.68,21.79,19.47,61.49,58.88,43.59,81.28,18.13,35.85,41.93,52.59,82.12,
50.51,43.91,70.74,102.1,17.85,100.8,42.24,52.14,158.43,36.68,161.39,20.84,59.13,45.3,31.97,75.67,91.02,32.38,25.69,21.55,19.81,61.35,58.86,43.16,80.74,17.97,35.18,41.59,52.32,82.38,
49.35,43.64,69.69,100.75,17.39,101.23,41.62,51.21,157.25,36.29,159.02,20.18,58.48,44.61,31.52,75.12,89.5,31.86,25.39,21.33,19.76,60.66,58.52,42.79,79.51,17.8,34.87,41.07,52.06,81.39,
47.14,42.36,67.69,100.4,17.05,99.51,40.6,50.07,154.38,35.68,153,19.81,57.66,43.81,30.8,73.38,87.55,31.08,24.79,21.21,19.3,59.73,58.05,41.86,78.33,17.74,34.3,40.61,51.38,79.31,
47.81,43.42,68.3,103.12,17,102.24,40.76,50.85,155.75,35.76,154.18,19.9,58.13,44.56,31.14,73.4,88.69,31.44,24.78,21.35,19.88,60.43,58.68,42.27,79.49,17.86,35.33,41.17,51.37,81.16,
47.24,44.17,69.1,105.06,17.14,102.8,41.23,51.05,159.96,36,155.89,19.93,58.57,45.74,31.35,72.99,88.98,31.91,24.8,19.4,20.18,60.6,58.06,42.6,80.16,17.86,35.84,40.91,51.52,80.85,
48.47,44.32,71.2,107.59,17.39,105.19,41.82,52.65,160.21,36.43,157.68,20.19,58.83,45.63,31.79,73.76,90.95,32.39,25.33,19.21,19.98,61.3,58.95,43.19,81.46,17.99,36.46,41.97,51.92,82.84,
48.74,44.75,71.85,106.79,17.45,105.23,41.44,52.31,160.79,36.29,158,20.15,58.79,45.47,31.76,73.87,90.7,32.53,25.3,18.86,19.94,60.93,58.28,42.74,80.88,17.9,36.95,39.21,52,82.56,
48.46,45.02,72.72,106.76,17.58,105.48,42.24,52.26,159.53,36.62,159.53,20.29,58.72,45.6,32.14,74.53,92.14,32.63,25.54,19.31,19.92,60.91,58.43,42.75,81.86,18,36.98,39.83,51.64,82.6,
49.28,45.59,72.76,108.37,17.36,105.38,42.86,52.35,159.91,37.36,160.04,20.38,59.03,45.73,32.35,74.93,92.58,32.72,25.81,19.18,20.3,61.14,58.83,43.8,82.76,18.17,37.18,39.95,52.59,82.73,
50.22,45.59,73.34,109.09,17.28,106.78,42.97,52.91,157.97,37.42,162.18,20.37,58.98,45.86,32.61,75.25,92.27,32.57,25.62,19.17,20.35,60.88,58.98,43.75,83.52,18.02,37.29,39.64,52.35,83.62,
50.06,45.72,73.3,109.4,17.19,106.04,42.52,52.75,156.47,36.65,161.37,20.34,59.24,45.96,32.52,75,92.12,32.45,25.41,18.97,20.27,60.66,58.91,43.87,83.47,18.19,37.75,39.28,52.19,83.47,
50.14,45.65,73.62,110.54,17.44,107.37,42.94,53.03,158.47,37.7,162.88,20.28,59.22,46.02,32.86,75.37,92.84,32.78,25.49,19.09,20.38,61.28,59.26,44.48,84.12,18.05,38.29,39.93,52.26,83.25,
49.8,45.91,73.8,111.53,17.33,108.01,43.35,53.08,159.07,37.57,163.6,20.46,59.38,46.45,33.02,75.81,92.47,33.3,25.61,19.19,20.34,61.97,59.39,45.4,84.23,18.56,38.46,40,52.36,84.49,
49.79,45.2,73.93,111.35,17.15,107.49,43.09,53.76,158.6,37.06,163.07,20.18,59.25,46.1,33.17,76.09,93.5,33.01,25.39,18.93,20.31,61.6,59.48,45.2,84.65,18.41,38.54,40.14,52.05,84.13,
49.22,45.36,74.01,113.12,17.04,108.32,42.85,53.99,160.23,37.56,164.27,19.72,59.49,46.35,33.61,75.99,93.13,33.07,25.48,19.13,20.38,62.08,59.71,45.61,85.32,18.56,38.47,40.94,52.13,84.68,
48.74,45.42,73.95,113.38,17.06,108.23,42.63,54.33,158.9,37.47,164.25,19.49,60.15,46.34,33.83,76.39,93.64,33.27,25.55,19.35,20.54,62.26,59.63,45.6,85.23,18.81,38.61,40.83,52.65,84.87,
48.41,45.42,73.23,112.31,17.22,109.33,42.43,55.06,158.91,37.6,163.99,19.71,59.8,46.58,33.74,76.6,93.39,33.16,25.78,19.48,20.45,61.67,59.13,45.09,85.4,18.91,38.38,41.11,52.74,85.42,
48.29,46.28,73.72,111,18.07,108.66,42.27,54.81,161.89,37.5,164.04,19.95,59.66,47.64,33.82,76.72,93.82,33.35,26.15,19.67,20.29,61.76,59.94,44.96,85.66,19,37.85,41.22,52.98,85.18,
48.3,46.16,74.29,109.85,17.91,108.94,42.04,54.59,162.4,37.83,164.38,20.03,59.48,47.4,33.72,76.01,93.19,33.33,26.2,19.52,20.33,62.13,59.79,44.43,85.36,19.1,37.76,41.33,53,85.76,
47.87,46.28,73.47,109.82,17.65,109.66,41.76,54.86,160.96,37.46,164.05,20.02,59.46,46.84,33.64,76.04,93.22,33.67,26.07,19.35,20.46,61.9,59.58,44.38,84.81,19.18,37.72,41.01,52.54,85.95,
47.26,46.38,73.76,109.07,17.47,107.78,41.89,53.77,161.47,37.6,163.95,20.12,59.86,46.86,33.7,76.25,93.8,33.59,25.98,19.53,20.67,62.19,60.42,44.32,84.98,19.43,37.85,41.34,52.82,85.16,
47.49,46.02,73.08,106.57,17.44,104.18,41.63,52.63,160.42,37.76,163.25,19.76,59.94,46.64,33.45,76.66,92.37,33.56,25.64,19.55,20.46,62.89,59.69,44.81,83.98,19.26,37.64,41.27,53.52,83.18,
48.02,46.1,72.13,107.63,17.25,103.81,41.7,52.26,160.17,37.67,163.95,19.78,59.6,46.25,33.64,76.89,92.86,33.47,25.63,19.85,20.46,62.99,59.93,44.33,84.21,19.38,37.69,41.32,53.63,83.16,
47.49,45.88,72.3,107.58,17.17,104.88,41.02,52.59,155.79,37.84,164.97,19.58,60.02,44.97,34.16,77.07,92.94,33.86,25.42,20.02,20.49,63.3,59.63,44.82,83.98,19.08,37.71,41.45,53.5,83.44,
46.78,46.25,72.6,107.21,17.03,106.24,41.52,53.8,155.13,38.17,166.21,19.75,60.56,44.89,34.01,77.38,92.82,34.51,25.37,19.68,20.53,64.18,59.8,44.98,83.45,19.12,37.85,41.87,53.55,84.29,
47.41,46.06,72.79,103.9,16.73,104.5,41.2,52.71,153.78,37.76,165.94,19.62,60.46,43.96,33.66,77,91.45,33.93,25.08,19.65,20.4,64,59.01,43.55,81.7,18.92,37.31,41.65,53.31,83.1,
48.27,46.64,73.15,106.1,16.61,105.4,41.35,53.69,151.86,37.77,165.4,19.86,62.69,44.65,33.54,76.6,91.86,33.75,25.15,19.68,20.53,63.86,58.18,43.96,82.36,18.98,37.24,42.37,53.35,83.8,
48.92,47,75.07,108.28,16.93,107.81,42.04,54.44,152.7,37.94,164.75,21.41,64.39,44.56,33.92,78.4,93.76,34.04,25.76,20.02,20.39,63.72,59.13,44.24,85.9,19.34,37.79,42.56,53.69,85.65,
50.1,47.11,75.44,109.42,16.94,108.13,42.27,56.22,153.51,37.8,168.28,21.46,64.07,44.68,33.94,76.91,93.92,34.04,25.52,20.05,19.79,63.27,61.32,47.81,87.1,19.44,36.91,42.69,53.58,86.36,
50.43,47.05,74.9,108.85,17.1,107.42,41.93,56.04,152.19,37.56,167.67,21.94,64.11,44.61,33.87,77.13,94.12,34.33,25.61,20.03,20.14,63.37,61.78,47.71,86.54,19.44,36.99,42.45,53.37,86.22,
50.06,47.1,75.55,111.94,17.52,108.75,42.33,56.92,153.27,37.21,168.49,22.48,64.95,45.12,33.47,76.94,95.94,35.06,26.19,19.99,20.19,63.83,61.39,47.35,87.86,19.69,37.63,42.87,53.91,87.42,
50.02,47.62,76.12,112.61,17.19,108.97,42.58,56.85,152.86,37.32,170.37,22.63,65.57,45.5,33.5,77.87,96.47,35.63,26.38,20.28,20.63,64.02,62.25,48.21,87.86,19.72,38.25,42.88,54.42,87.78,
49.54,48.52,78.55,112.64,17.29,108.81,43.02,57.97,150.6,37.47,170.78,22.8,65.38,45.85,33.71,78.03,97.23,35.77,26.71,20.64,20.83,64.5,63.06,49.1,89.01,19.42,38.27,43.17,54.69,87.34,
50.02,49.08,79.78,115.41,17.52,109.44,43.1,58.37,151.01,37.15,170.58,23.15,65.72,45.63,33.73,78.31,97.21,35.95,25.92,20.58,20.97,64.9,63.28,49.23,89.58,19.53,37.78,42.72,54.98,87.98,
49.47,49.65,79.53,114.37,17.58,108.18,43.27,58.87,151.3,37.35,172.15,22.91,66.21,45.18,33.86,78.64,96.92,36.31,25.66,20.56,21.02,65.18,63.52,49.88,90,19.79,37.56,42.31,55.04,86.97,
49.74,49.9,79.51,113.27,17.41,106.17,43.07,57.69,151.87,37.35,172.87,23.23,66.26,45.92,33.94,78.94,96.83,36.41,25.81,20.42,20.44,65.71,64.05,49.68,89.85,20,37.8,43.12,55.46,85.62,
49.94,49.7,78.84,110.77,17.47,104.68,42.62,56.45,151.52,37.19,170.62,23.5,65.67,45.5,33.73,79.07,96.2,36.56,26.06,20.7,20.64,66.47,63.54,49.56,89.38,19.94,37.67,42.78,55.37,84.81,
49.54,49.52,78.45,109.39,17.48,102.62,42.69,55.87,150.41,37.01,168.46,23.61,65.01,45.17,33.35,78.6,94.92,36.25,25.79,20.65,20.39,65.88,63,49.58,88.53,19.68,37.12,42.5,55.07,82.62,
49.52,50.2,79.31,110.34,17.56,102.88,43.06,56.56,150.1,36.99,168.89,23.25,65.27,45.04,33.45,78.7,95.6,36.39,25.87,20.51,20.55,65.27,63.43,50.12,89.21,19.85,37.28,42.34,55.02,82.69,
49.66,50.19,79.64,111.66,17.6,104.09,43.1,56.75,149.12,36.96,169.1,22.76,65.63,44.96,33.48,79.31,95.99,36.48,25.83,20.73,20.6,65.14,63.39,50.47,89.52,19.97,37.24,43.1,55.1,83.18,
49.92,50.17,79.95,112.87,17.79,104.36,43.91,58.02,150.4,37.27,170.38,23.03,65.76,45.16,33.67,79.71,95.71,36.77,25.67,20.88,20.86,65.73,63.86,50.51,89.81,20.09,37.57,43.5,55.53,83.34,
49.6,49.83,79.08,109.98,17.78,102.26,41.52,55.54,147.88,37.23,169.5,23.41,66.57,44.23,33.66,79.51,95.52,36.63,25.36,20.67,20.61,65.92,63.25,50.02,89.52,19.84,37.26,44.09,55.17,81.12,
49.51,49.54,79.41,108.63,16.93,102.76,41.58,55.44,142.75,37.29,172.24,23.71,67.19,44.09,34.16,80.66,96.65,37.2,25.32,21.15,20.89,66.84,63.85,50.08,89.57,19.98,37.43,44.93,55.72,81.05,
48.64,49.49,79.03,106.33,16.88,102.39,41.52,54.64,141.46,37.01,169.92,23.41,66.62,43.15,34.09,80.74,96.01,37.08,25.03,21.57,20.92,66.86,62.33,49.95,88.98,19.98,37.26,44.97,55.72,80.87,
47.61,50.07,77.77,106.09,16.6,101.65,40.93,53.7,140.6,36.98,168.86,23.64,66.37,42.88,33.92,81.14,95.46,37.3,24.57,21.32,20.98,66.94,62.94,50.17,88.88,19.99,36.97,45.12,56.06,80.24,
48.02,50.76,76.68,102.08,16.64,100.41,41.01,52.02,140.81,37.4,170.5,23.55,66.4,43.81,33.99,80.93,93.86,37.27,24.52,21.22,21.14,67.42,62.57,49.99,87.82,20.15,37.11,44.3,55.54,80.41,
48.55,51.06,77.14,105.25,16.65,102.86,41.42,52.65,140.84,37.46,170.44,23.88,66.5,44.08,34.15,81.5,93.94,37.58,24.69,21.21,21.18,67.38,63,50.61,87.15,20,37.09,44.19,55.18,81.74,
48.65,51.82,78.02,105.3,16.66,103.87,41.38,52.48,139.34,37.39,170.59,23.54,66.39,44,34.23,82.51,94.71,37.38,24.72,21.53,21.03,67.46,62.81,50.55,88.1,19.91,37.32,44.23,55.48,82.33,
47.89,51.19,77.52,104.33,16.53,102.57,41.5,51.28,134.99,37.05,170.16,23.22,65.69,43.13,34.15,82.33,93.56,37.06,24.49,21.26,20.69,67.36,62.25,49.74,87.5,19.56,37.15,44.37,55.29,81.57,
47.77,51.12,76.28,101.89,16.35,101.37,41.16,50.71,135.84,36.82,168.26,22.86,65.56,42.55,33.74,82.5,92.49,36.9,24.17,20.91,20.59,67.05,61.44,49.16,86.09,19.23,36.85,44.5,55.22,80.67,
47.46,50.56,75.57,101.55,16.27,102.27,41.09,50.51,136.34,36.55,167.99,22.61,65.78,42.34,33.74,82.64,91.97,36.87,24.15,21.08,20.52,67.01,61.02,47.96,85.62,19.4,36.9,44.29,54.78,81.29,
48.11,50.41,76.32,103.25,16.19,103.25,41.13,51.54,136.24,36.63,167.75,22.68,66.29,42.27,33.46,82.72,92.69,36.69,24.19,20.8,20.78,66.38,61.46,47.87,86.26,19.69,36.4,44.14,54.56,81.96,
47.86,50.68,76.66,104.19,16.25,103.36,40.99,50.84,136.26,36.19,167.18,22.5,65.51,42.45,33.35,82.43,92.82,36.38,24.67,21.02,20.9,66.19,61.21,47.7,86.39,19.82,36.61,43.7,54.62,82.39,
