Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
2020/6/1,80.46,96.75,151.39,120.5,46.3,92.79,118.77,50.88,199.93,247.29,124.89,61.86,147.19,98.6,46.99,187.41,155.58,79.56,182.83,99.54,35.46,117.25,109.15,305.93,64.120003,194.35,55.78,43.3,123.96,46.28
2020/6/2,80.83,99.07,153.31,123.32,46.89,94.69,118.75,52.65,204.14,252.71,126,62.12,148.25,98.93,46.9,187.59,157.64,80.84,184.91,100.74,36.16,118.06,111,306.31,63.400002,196.36,56.4,43.55,123.94,47.31
2020/6/3,81.28,105.4,173.16,127.09,46.94,97.18,122.18,54.58,210.57,251,129.05,61.93,148.65,104.27,47.9,193.29,161.21,82.06,185.36,104.11,36.16,118.53,114.47,305.35,67.470001,196.87,56.83,43.61,123.47,49.24
2020/6/4,80.58,106.54,184.3,128.96,46.86,96.28,123.69,54.98,214.82,248.95,128.89,62.97,146.73,106.44,47.92,193.24,162.55,81.55,182.92,101.28,36.01,116.05,118,298.08,67.510002,193.64,57.22,44.2,122.11,49.1
2020/6/5,82.88,109.73,205.43,135.12,47.83,100.81,124.82,56.14,217.92,254.9,132.06,64.34,147.3,111.23,49.09,197.16,167.41,82.26,187.2,102.71,35.99,118.33,124.36,311.85,72.07,199.61,57.74,45.35,121.56,53.08
2020/6/8,83.37,113.67,230.5,137.72,48.13,103.24,127.28,57.04,220.81,256.77,135.75,63.67,146.77,113.45,49.85,202.65,166.87,82.9,188.36,104.29,36.59,119.05,128,309.48,74.160004,199.6,58.09,47.02,121.24,54.74
2020/6/9,86,110.46,216.74,134.19,48.05,101.53,123.89,55.93,218.1,256.76,131.87,63.04,145.96,110.54,49,199.52,166.7,82.26,189.8,102.63,36.21,118.34,125.42,309.21,70.540001,199.08,57.86,45.28,121.35,53.52
2020/6/10,88.21,106.16,203.41,132.44,47.42,97.58,122.18,53.68,213.52,254.45,129.87,63.87,147.8,106.06,48.62,195.8,163.9,81.77,196.84,102.12,35.92,119.23,120.98,305.75,68.360001,200.48,58.05,44.28,121.16,50.65
2020/6/11,83.98,98.6,170,121.55,43.67,89.37,112.64,49.98,194.13,239.47,118.01,59.7,140.87,97.21,45.54,187.51,152.38,77.35,186.27,95.17,33.3,116.26,110.55,283.73,62.849998,188.88,56.45,40.75,120.09,46.18
2020/6/12,84.7,101.68,189.51,123.15,45.07,92.39,115.49,51.01,201.78,242.45,121.91,59.33,142.15,99.87,45.6,189.17,154.87,76.3,187.74,96.43,33.75,115.62,113.33,285.15,65.370003,192.26,56.53,41.4,117.74,47.17
2020/6/15,85.75,103.95,190.94,123.61,45.35,91.23,117.08,51.99,206.31,241.36,121.65,60.1,141.25,101.25,46.3,189.49,157.73,74.02,187.74,97.84,33.36,116.69,114.85,286.28,67.050003,191.76,56.15,41.49,118.08,47.14
2020/6/16,88.02,105.62,197.77,130.11,46.48,94.03,118.44,53.13,209.59,249.95,125.15,60.4,144.46,102.06,46.77,190.32,159.67,76.97,193.57,99.04,33.4,118.13,116.15,293,67.82,192.88,56.92,42.15,119.65,48.2
2020/6/17,87.9,103.96,192.54,128.23,46.17,91.54,117.65,52.77,206.19,250.85,124.15,60.49,144.02,99.48,46.58,190.79,159.22,76.29,194.24,99.21,33.56,117.93,114.82,292.6,66.900002,193.56,56.65,42.15,119.03,46.63
2020/6/18,87.93,102.16,192.29,127.59,45.83,91.94,118.37,52.58,203.84,249.21,124.16,60.08,143.41,98.94,46.99,189.49,159.21,76.22,196.32,98.45,33.24,119.28,116.05,291.48,66.879997,193.91,56.89,41.98,117.99,46.92
2020/6/19,87.43,100.94,187.02,127.46,45.32,90.63,114.35,52.6,201.63,246.65,122.47,59.62,143.83,97.81,46.02,186.56,158.15,77.9,195.15,95.78,33.42,118.92,116.56,291.24,64.889999,192.2,56.16,44.13,119.85,45.98
2020/6/22,89.72,99.44,188.52,125.79,45.16,91.59,115.92,52.98,203.42,249.16,121.07,60.09,143.39,96.75,45.74,187.46,156.69,76.75,200.57,99.51,33.11,117.75,116.23,292.67,65.040001,194.96,55.66,43.24,121.68,46.42
2020/6/23,91.63,99.42,187.88,126.25,45.47,91.44,116.59,52.91,204.78,250.31,119.41,59.92,142.86,97.93,45.64,186.62,157.84,77.12,201.91,101.92,32.77,117.73,116.19,297.6,64.540001,197.97,54.94,42.81,121.07,46.7
2020/6/24,90.02,95.48,176.69,122.06,44.75,87.64,112.07,51.54,198.02,246.13,116.42,59.09,139.82,94.66,44.65,184.29,152.22,75.87,197.84,100.08,32.19,116.42,112.86,289.18,61.720001,191.41,53.93,41.17,120.3,44.5
2020/6/25,91.21,97.85,174.88,124.71,45.22,89.21,111.36,53.09,207.1,245.38,119.03,58.51,139.67,97.96,44.93,182.76,154.67,76.57,200.34,101.4,32.32,117.89,114.62,296.22,61.060001,193.98,54.28,42.04,119.71,45.17
2020/6/26,88.41,93.42,170.01,122.39,46.31,86.46,109.1,51.42,189.19,241.01,117.19,57.5,137.81,92.59,43.57,179.74,152.52,75.19,196.33,93.67,32.04,115.23,111,286.88,59.099998,189.27,53.16,41.17,118.32,43.62
2020/6/29,90.45,94.52,194.49,125.25,46.15,87.67,111.52,52.47,193.47,246.12,119.75,58.27,139.04,93,44.36,182.8,155.57,76.12,198.44,95.87,32.64,117.66,112.9,289.76,61.919998,191.38,54.69,42.32,119.06,44.32
2020/6/30,91.2,95.2,183.3,126.5,46.64,89.23,111.51,53.13,197.62,250.51,120.77,59.83,140.63,94.06,44.68,184.47,155.99,77.33,203.51,98.05,32.7,119.57,114.05,294.95,61.619999,193.17,55.13,42.39,119.78,44.72
