AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM,
107.72,74,127.44,74.9,25.12,78.19,99.51,59.33,182.12,113.07,142.68,27.82,92.09,61.45,38.75,93.47,138.5,52.53,41.82,54.32,31.36,68.9,97.49,112.63,89.72,68.96,44.9,86.04,63.82,72.08,
112.34,74.94,130.63,76.1,25.65,78.06,101.89,60.37,184.51,116.48,145.05,28.6,93.35,62.57,38.9,96.04,141.24,52.98,43.36,55.35,31.97,69.81,98.93,114.23,91.24,69.62,45.35,87.83,64.44,73.23,
110.37,75.26,131.02,74.45,25.9,78.26,101.99,60.99,185.06,116.6,146.78,29.08,92.64,62.68,39.16,96.01,141.74,52.65,43.5,55.43,31.89,69.93,99.37,113.99,91.91,70.4,45.72,88.26,64.86,73.79,
109.27,74.08,129.76,73.1,25.52,76.67,100.97,59.93,180.38,114.42,143.7,28.52,91.31,61.5,38.52,94.85,139.84,51.59,42.61,54.85,31.37,68.76,97.76,112.36,90.68,69.16,44.82,87.43,63.89,72.46,
112.31,75.49,133.82,74.3,26.3,76.84,104.01,62.79,185.88,116.43,147.23,29.5,93.94,63.16,38.9,96.78,143.43,52.69,43.89,55.88,32.53,69.98,99.65,116.09,92.82,70.53,45.88,90.09,66.38,73.5,
110.15,75.12,132.65,72.96,25.94,74.92,101.91,62.36,185.68,113.97,145.05,29.24,92.22,62.18,38.3,95.43,140.86,51.93,43.07,54.93,31.96,68.48,98.48,115.08,91.85,69.6,45.39,88.94,65.12,72,
112.57,75.31,133.55,72.42,26.26,75.66,102.6,62.32,185.91,114.49,146.2,29.27,92.72,62.66,38.42,95.25,140.78,52.72,43.29,55.19,32.62,68.32,99.09,116.77,91.4,70.23,45.46,89.38,64.12,72.52,
114.21,75.5,134.67,72.63,26.02,75.79,104.48,62.35,185.27,115.44,147.37,29.47,92.93,62.56,38.13,97.41,141.26,52.09,43.48,55.91,32.97,68.42,99.49,118.7,92.33,70.76,45.73,90.4,64.65,72.69,
115.31,75.14,134.43,72.77,25.7,75.77,103.82,61.35,183.94,114.73,145.65,29.39,93.32,62.38,38.1,96.97,140.81,52.34,43.04,55.95,32.71,68.06,99.28,117.8,91.83,70.01,45.65,90.17,64.28,72.49,
116.28,76.5,136.3,74.58,25.98,77.17,103.43,62.1,187.45,116.18,147.53,29.73,94.4,63.58,38.5,98.19,143.6,53.55,43.98,56.92,33.17,69.45,100.86,120.03,92.68,70.51,46.37,90.92,64.32,72.86,
