AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM,
49.29,43.6,70.29,98.01,21.47,96.22,39.88,51.78,165.33,36.99,163.56,21.48,60.63,45.93,31.53,73.47,87.79,34,27.99,20.89,19.22,62.92,56.81,42.07,81.83,17.68,36.27,42.23,56.33,83.91,
49.19,43.72,71,99.09,21.62,96.48,40.49,52.18,165.05,36.56,163.3,21.56,60.62,45.45,31.43,73.64,87.75,33.82,27.94,20.98,18.96,62.79,56.71,41.95,82.16,18.02,36.16,41.97,55.86,83.41,
49.06,43.53,70.98,98.93,21.91,97.31,40.5,52.32,164.64,36.7,163.53,21.57,60.8,45.46,31.29,73.83,87.95,32.9,27.65,20.95,19.17,62.9,57.25,43.04,82.22,17.91,36.38,42.31,55.92,83.44,
49.5,43.82,71.38,99.59,22.05,97.11,40.71,52.71,164.83,36.8,164,21.68,60.84,44.59,31.28,74.05,88.29,32.89,27.77,21.44,19.3,63.61,57.41,42.49,82.52,18.23,36.31,42.37,56.03,83.28,
50.27,44.82,71.93,100.47,22.03,97.66,40.94,53.57,167.13,36.6,164.82,21.69,60.87,45.5,31.26,73.45,88.79,33,28.2,21.63,19.04,64.55,57.18,41.81,83.66,18.48,36.02,42.31,56.07,83.93,
50.74,45.88,72.71,100.61,21.99,97.74,41.18,54.03,168.55,37.16,166.05,21.64,60.94,45.74,31.44,75.36,89.47,33.27,28.28,21.68,19.16,64.64,57.88,41.97,83.88,18.64,36.34,42.78,56.38,82.98,
51.17,45.72,72.63,99.79,22.04,96.24,43.36,53.35,166.01,37.17,164.65,21.46,60.88,45.11,31.58,75.93,90.78,33.09,27.97,21.81,19.05,64.39,58.81,42.07,83.98,18.32,36.68,42.66,56.73,82.55,
50.65,46.57,72.66,100.6,18.92,96.7,43.31,54.3,165.34,37.31,164.09,21.8,60.93,45.53,31.77,75.76,90.46,33.04,27.5,21.7,19.03,64.58,58.46,42.43,84.75,18.68,36.42,42.58,55.59,83.2,
50.98,46.75,72.14,103.54,18.7,96.45,43.41,54.66,166.66,37.48,163.85,21.76,60.7,46.57,31.79,76.14,91.8,33.07,27.25,21.55,18.83,64.73,58.99,42.38,85.2,18.73,36.39,42.58,55.69,82.82,
51.31,46.52,72.26,103.26,18.81,96.95,43.24,54.81,167.52,37.58,163.22,21.57,60.7,46.54,31.57,76.24,91.9,32.82,27.23,21.44,19.05,64.54,58.84,42.46,85.21,18.93,35.9,42.17,54.8,84.91,
51.41,46.19,71.4,103,18.67,96.34,43.09,54.06,167.91,37.69,162.84,21.45,60.62,46.82,31.6,76.15,92,32.79,26.96,21.39,19.05,63.92,59.35,42.03,84.93,18.9,36.46,42.34,54.95,82.97,
51.88,46.86,72.48,103.55,18.58,96.66,43.7,54.54,168.81,37.86,163.4,21.75,60.52,47.94,31.7,76.02,92.33,32.96,27.02,21.44,19.28,63.76,59.46,42.5,85.06,18.99,36.17,42.19,54.55,83.69,
51.19,45.78,72.24,103.36,18.68,97.17,43.7,55.2,167.16,38.18,164.24,21.97,60.79,47.82,32.28,75.98,92.73,33.1,27.21,21.51,19.37,64,59.78,42.59,84.54,19.04,36.37,42.61,54.75,83.88,
50.08,45.53,73.04,105.86,18.85,98.72,43.56,54.88,168.04,38.48,164.84,22.14,61.11,48,32.28,76.13,92.96,32.85,27.06,22.21,19.19,64.3,60.92,42.84,85.01,18.96,36.62,42.74,55.38,84.5,
48.37,44.29,70.93,102.01,18.59,100.32,42.65,52.92,162.94,38.09,161.95,21.81,60.65,46.01,31.88,75.7,92,32.34,26.59,21.81,18.89,64.07,60.53,42.96,83.56,18.43,36,42.18,53.67,85.44,
48.95,43.44,70.23,100.02,18.4,102.27,42.13,51.3,163.09,37.3,160.18,21.15,60.39,45.96,31.96,75.19,90.26,32.09,26.59,21.55,18.76,64.15,60.42,42.91,82.79,18.22,35.81,41.23,53.03,87.07,
48.98,43.56,70.76,100.57,18.36,102.03,42.42,50.54,163.44,37.14,160.77,21.29,60.25,45.91,31.94,75.21,90.03,32.03,26.77,21.63,18.9,63.05,59.33,42.75,82.72,18.48,35.58,41.32,52.09,85.97,
49.74,43.53,72.3,102,18.64,102.1,42.95,51.72,165.12,37.08,162.28,21.86,59.64,46.68,32.16,74.44,90.25,32.19,26.55,22,18.86,62.84,59.6,42.52,83.37,18.67,35.97,41.97,51.75,85.34,
50.46,43.57,72.01,102.93,18.56,103.75,43.74,52.92,163.78,37.47,161.88,21.47,61.44,46.69,31.96,75.68,92.23,32.57,26.58,22.26,19.24,63.05,59.93,42.58,83.54,18.26,36.92,43.34,51.98,85.53,
