AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM,
94.2,57.73,70.01,85.47,19.04,117.25,52.07,41.75,116.86,60.57,210.47,22.76,69.13,40.97,38.38,91.99,93.29,45.22,29.49,23.89,25.04,69.45,69.07,56.46,78.35,34.18,45.81,36.95,74.05,91.8,
94.47,57.18,69.53,85.47,18.87,117.96,51.64,41.53,117.25,60.33,209.84,22.84,68.96,40.92,38.34,90.93,93.54,45.47,29.66,23.74,25.12,68.79,68.7,56.8,78.39,34,45.86,36.91,73.75,91.72,
95.92,57.4,69.86,85.28,18.93,116.14,52.47,40.89,117.91,61.77,210.51,22.55,69,40.86,38.24,90.35,93.78,45.78,29.86,23.45,25.32,69.17,69.01,56.86,78.56,34.63,46.28,36.36,74.2,91.7,
95.26,58.37,69.94,85.96,18.9,117.15,52.63,41.56,119.9,61.74,210.39,22.47,69.27,41.82,38.33,91.03,94.43,46.12,30.03,23.97,25.35,69.38,69.28,57.97,78.53,34.92,47.26,36.37,74.72,92.22,
93.23,58.56,70.89,85.43,18.86,117.5,52.97,41.58,119.31,63.2,210.59,22.68,69.65,41.71,38.58,91,94.96,46.28,29.85,23.81,25.52,69.63,69.56,57.13,78.51,35.07,47.05,36.13,75.13,92.55,
91.17,58.82,70.57,85.44,18.9,117.62,52.33,41.3,119.46,61.88,209.82,22.51,69.44,41.66,38.58,91.54,95.37,46.34,29.78,23.75,25.4,69.1,69.54,57.6,78.37,34.68,46.57,35.92,75.25,92.68,
90.84,58.24,70.64,84.75,18.8,117.36,51.51,40.44,119.63,60.95,207.99,21.9,68.41,41.38,38.56,92.11,93.94,46.17,29.28,23.62,25.31,68.7,69.32,57.47,77.33,34.19,46.11,35.6,74.14,92.13,
91.56,57.97,70.34,83.16,18.31,112.45,51.21,39.99,120.08,59.74,205.82,21.76,68.22,41.77,38.09,92.4,93.28,45.6,28.98,23.56,25.16,68.14,69.4,57.11,76.02,34.35,45.78,35.63,75.42,91.03,
89.73,58.47,70.83,82.85,18.26,113.06,50.34,40.19,121.99,59.01,205.76,21.68,67.97,42.1,38.11,92.36,92.83,45.45,28.95,23.73,25.12,68,69.16,57.66,76.05,34.76,45.2,36.1,75.01,91.17,
89.96,57.89,71.85,82.82,18.41,112.07,50.59,39.99,120.2,59.56,207.8,21.48,67.97,41.62,38.23,92.51,92.75,45.62,29.2,23.61,25.12,67.94,68.72,57.07,75.96,34.78,44.62,35.94,75.81,91.03,
90.68,57.59,72.25,82.81,18.55,112.82,50.79,40.33,124.5,60.65,208.93,21.73,68.6,42.38,38.13,93.5,92.79,46.59,29.51,23.9,25.57,68.71,69.79,57.49,76.15,34.97,44.5,36.17,77.15,91.51,
92.83,58.63,73.48,84.96,18.85,114.09,51.24,42.59,123.22,60.86,211,22.35,69.55,42.83,37.9,94.09,94.23,47.17,29.49,24.31,25.8,69,70.49,56.88,77.6,35.29,44.08,36.37,76.91,92.38,
92.09,59.37,73.63,86.63,18.7,115.18,52.29,43.06,124.92,61.39,200.63,21.79,71,43.32,37.74,93.68,94.81,47.39,29.59,24.39,25.84,69.47,71.38,55.99,78.54,35.64,44.72,35.83,77.03,93.39,
