AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM,
65.17,50.62,75.37,110.52,19.8,102.79,39.33,48.33,113.45,44.47,192.62,26.55,65.69,37.6,33.92,98.4,87.35,38.63,29.89,25.94,21.31,63.21,59.27,53.26,80.22,25.63,37.8,33.22,62.18,83.97,
65.02,51.16,75.22,110.33,19.8,103.69,38.91,47.76,113.39,44.46,191.53,26.49,65.59,37.55,33.92,98.62,87.43,38.44,29.95,25.71,21.11,63.32,59.39,52.54,80.02,26.52,37.56,33.53,61.94,83.53,
65.67,52.25,76.34,113.94,20.09,105.5,40,48.68,117.53,45.17,193.64,26.74,65.64,38.28,34.04,100.01,87.73,38.37,30.24,25.88,21.2,62.77,60.12,51.31,81.05,26.76,37.84,33.65,62.03,84.92,
66.28,51.81,75.46,113.78,20.19,106.67,40.46,48.39,117.39,45.2,192.82,26.72,65.19,38.14,34.02,99.49,87.56,38.4,30.2,25.87,20.95,63.51,59.33,51.29,80.57,26.84,38.14,34.28,61.88,85.75,
66.98,52.13,75.2,113.81,20.2,106.83,40.98,48.22,115.98,45.46,193.35,26.64,65.26,37.87,34.28,100.91,87.89,38.63,30.35,26.06,21.05,63.7,59.74,52.03,80.28,26.75,37.92,33.46,61.69,86.34,
68.1,51.64,75.46,114.04,20.43,106.76,41.27,48.35,116.15,45.17,192.95,26.85,65.24,38.3,34.17,100.05,87.97,38.42,30.66,26.48,21.01,63.64,59.85,52.14,81.74,27.09,37.92,33.13,61.62,85.32,
70.45,52.31,75.9,112.83,20,106.37,41.53,49.02,115.88,45.27,193.13,26.86,64.89,37.86,33.99,99.99,88.02,38.15,30.77,26.44,21.14,64.04,59.89,53.06,83.78,28.11,37.92,34.21,61.96,84.88,
70.49,51.81,74.95,111.75,19.9,105.28,41.45,48.42,114.12,45.33,192.42,26.7,64.6,37.61,33.97,99.47,87.14,37.91,30.5,26.35,21.05,63.88,59.38,53.32,83.5,28.48,37.69,34.54,61.9,83.8,
71.8,52.07,74.85,113.7,20.03,106.38,41.79,48.69,114.53,45.93,192.62,26.7,64.68,38.3,34.22,99.65,88.03,38.11,30.58,26.31,21.3,64.23,58.99,53.85,84.88,28.18,38.13,34.79,61.79,84.42,
72.78,51.96,75.56,114.45,20.07,106.49,41.6,47.85,112.87,46.06,192.22,26.78,64.61,37.92,34.45,99.55,87.99,38.21,30.25,26.66,21.33,64.48,59.16,54.46,84.64,28.81,38.04,34.63,62.22,84.67,
